,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Meulaboh,ID,78.79,4.14,96.13,100,68,0.81
1,Punta Arenas,CL,50,-53.16,-70.91,57,75,11.41
2,Yellowknife,CA,28.4,62.45,-114.38,50,75,9.17
3,Nizhniy Kuranakh,RU,31.27,58.84,125.49,88,88,7.85
4,Taldan,RU,48.01,53.69,124.82,96,92,1.36
5,San Felipe,CL,69.8,-32.75,-70.73,46,0,12.75
6,Tiksi,RU,12.01,71.64,128.87,94,0,2.93
7,Sawtell,AU,62.6,-30.38,153.1,82,75,8.05
9,Longyan,CN,48.46,25.1,117.03,91,0,1.92
10,Laranjeiras do Sul,BR,69.7,-25.41,-52.42,80,80,1.14
11,Busselton,AU,56.83,-33.64,115.35,100,48,13.78
12,Esperance,TT,86,10.24,-61.45,70,20,11.41
13,Lavrentiya,RU,45.49,65.58,-170.99,92,92,17.25
14,Hermanus,ZA,54.13,-34.42,19.24,81,0,3.94
15,Ler,NO,45.27,63.2,10.3,61,75,24.16
16,Carnarvon,ZA,48.01,-30.97,22.13,28,8,3.15
17,Soubre,CI,75.37,5.79,-6.61,96,92,5.06
18,Beian,NO,44.6,63.66,9.57,87,75,32.21
19,Point Fortin,TT,86,10.16,-61.68,70,20,11.41
20,Iskateley,RU,29.74,67.68,53.15,99,0,8.19
22,Avarua,CK,77,-21.21,-159.78,61,40,14.99
23,Lompoc,US,72.32,34.64,-120.46,50,1,18.34
24,Atuona,PF,78.34,-9.8,-139.03,100,88,15.46
26,Puerto Ayora,EC,78.8,-0.74,-90.35,61,20,21.92
27,Broome,GB,57.78,52.47,1.45,93,76,2.24
28,Rikitea,PF,72.58,-23.12,-134.97,100,92,12.66
29,Tura,IN,70.33,25.52,90.21,90,0,2.15
30,Kapaa,US,85.71,22.08,-159.32,69,75,10.29
31,Vaini,IN,70.6,15.34,74.49,92,56,2.82
32,Morant Bay,JM,80.6,17.88,-76.41,78,40,9.17
33,Port Elizabeth,US,64.89,39.31,-74.98,96,90,4.7
34,Jian,IN,71.86,25.65,87.89,92,0,2.82
35,Xiangxiang,CN,54.85,27.73,112.52,67,0,4.83
36,Albany,US,59.88,42.65,-73.75,45,40,4.7
37,Mar del Plata,AR,68.98,-46.43,-67.52,28,0,9.42
39,Arman,RU,41,59.7,150.17,48,40,6.71
